Name,Rating,Genre,Release Date,Runtime,Director,Url
Fistful of Vengeance,56.0,"Action, Fantasy",02/17/2022,1h 37m,Roel Reiné,https://www.themoviedb.org/movie/890656
Pulp Fiction,85.0,"Thriller, Crime",10/14/1994,2h 34m,Quentin Tarantino,https://www.themoviedb.org/movie/680
Just Go with It,67.0,"Comedy, Romance",02/11/2011,1h 57m,Dennis Dugan,https://www.themoviedb.org/movie/50546
Django Unchained,82.0,"Drama, Western",03/29/2013,2h 45m,Quentin Tarantino,https://www.themoviedb.org/movie/68718
Predators,62.0,"Science Fiction, Action, Thriller",07/03/2010,1h 47m,Nimród Antal,https://www.themoviedb.org/movie/34851
Hancock,63.0,"Fantasy, Action",07/01/2008,1h 32m,Peter Berg,https://www.themoviedb.org/movie/8960
Justice League,61.0,"Action, Adventure, Science Fiction",11/17/2017,2h,Zack Snyder,https://www.themoviedb.org/movie/141052
A Bug's Life,70.0,"Adventure, Animation, Comedy, Family",11/25/1998,1h 35m,John Lasseter,https://www.themoviedb.org/movie/9487
Stand by Me Doraemon 2,78.0,"Animation, Family, Science Fiction",11/20/2020,1h 36m,Takashi Yamazaki,https://www.themoviedb.org/movie/728754
Blue Thermal,61.0,"Animation, Drama, Romance, Comedy",03/04/2022,1h 43m,Masaki Tachibana,https://www.themoviedb.org/movie/865767
Teen Titans Go! & DC Super Hero Girls: Mayhem in the Multiverse,69.0,"Animation, Action, Comedy",05/24/2022,1h 19m,Katie Rice,https://www.themoviedb.org/movie/913205
Apocalypse Now,83.0,"Drama, War",08/15/1979,2h 27m,Francis Ford Coppola,https://www.themoviedb.org/movie/28
The Fly,74.0,"Horror, Science Fiction",02/13/1987,1h 36m,David Cronenberg,https://www.themoviedb.org/movie/9426
Mickey and Minnie Wish Upon a Christmas,68.0,Animation,12/24/2021,47m,Broni Likomanov,https://www.themoviedb.org/movie/864390
Porno,45.0,Drama,01/01/1981,1h 23m,David Cardoso,https://www.themoviedb.org/movie/197158
Logan,78.0,"Action, Drama, Science Fiction",03/03/2017,2h 17m,James Mangold,https://www.themoviedb.org/movie/263115
Obi-Wan Kenobi: A Jedi's Return,66.0,Documentary,09/08/2022,1h,David Gelb,https://www.themoviedb.org/movie/1015606
Child of Kamiari Month,65.0,"Animation, Drama, Fantasy, Family",10/08/2021,1h 40m,Takana Shirai,https://www.themoviedb.org/movie/628964
Predator,75.0,"Science Fiction, Action, Adventure, Thriller",06/12/1987,1h 47m,John McTiernan,https://www.themoviedb.org/movie/106
National Lampoon's Christmas Vacation,72.0,Comedy,12/01/1989,1h 37m,Jeremiah S. Chechik,https://www.themoviedb.org/movie/5825
Groot's Pursuit,72.0,"Animation, Family, Comedy, Science Fiction",08/10/2022,5m,Kirsten Lepore,https://www.themoviedb.org/movie/1010820
The Jungle Book,73.0,"Family, Animation, Adventure",10/18/1967,1h 18m,Wolfgang Reitherman,https://www.themoviedb.org/movie/9325
Rush Hour 3,64.0,"Action, Comedy, Crime",08/10/2007,1h 31m,Brett Ratner,https://www.themoviedb.org/movie/5174
Jack Reacher,66.0,"Crime, Drama, Thriller, Action",12/28/2012,2h 10m,Christopher McQuarrie,https://www.themoviedb.org/movie/75780
Chronicle,68.0,"Science Fiction, Drama, Thriller",02/03/2012,1h 24m,Josh Trank,https://www.themoviedb.org/movie/76726
Memento,82.0,"Mystery, Thriller",05/25/2001,1h 53m,Christopher Nolan,https://www.themoviedb.org/movie/77
Voyagers,61.0,"Science Fiction, Thriller",04/09/2021,1h 48m,Neil Burger,https://www.themoviedb.org/movie/597890
Die Hard,78.0,"Action, Thriller",07/22/1988,2h 11m,John McTiernan,https://www.themoviedb.org/movie/562
Prometheus,65.0,"Science Fiction, Adventure, Mystery",06/08/2012,2h 4m,Ridley Scott,https://www.themoviedb.org/movie/70981
Dragon Ball Z: Bardock - The Father of Goku,75.0,"Animation, Action, Science Fiction, Drama, Fantasy",10/17/1990,48m,Mitsuo Hashimoto,https://www.themoviedb.org/movie/39323
Don't Leave,55.0,"Romance, Drama",11/11/2022,1h 47m,Ozan Açıktan,https://www.themoviedb.org/movie/1040263
Baywatch,61.0,"Comedy, Action, Crime",05/26/2017,1h 56m,Seth Gordon,https://www.themoviedb.org/movie/339846
WALL·E,81.0,"Animation, Family, Science Fiction",08/29/2008,1h 38m,Andrew Stanton,https://www.themoviedb.org/movie/10681
Dragon Ball GT: A Hero's Legacy,67.0,"Animation, Family, Fantasy",03/26/1997,45m,Osamu Kasai,https://www.themoviedb.org/movie/18095
Dynasty Warriors,63.0,"Action, Adventure, Fantasy",04/27/2021,1h 58m,Roy Chow Hin-Yeung,https://www.themoviedb.org/movie/525660
Taken 2,63.0,"Action, Crime, Thriller",10/04/2012,1h 31m,Olivier Megaton,https://www.themoviedb.org/movie/82675
The Sword in the Stone,73.0,"Animation, Family",12/25/1963,1h 19m,Wolfgang Reitherman,https://www.themoviedb.org/movie/9078
No Manches Frida 2,80.0,Comedy,03/15/2019,1h 42m,Nacho G. Velilla,https://www.themoviedb.org/movie/554596
Despicable Me,72.0,"Family, Animation, Comedy, Crime",08/06/2010,1h 35m,Pierre Coffin,https://www.themoviedb.org/movie/20352
Star Wars: The Force Awakens,73.0,"Adventure, Action, Science Fiction, Fantasy",12/18/2015,2h 16m,J.J. Abrams,https://www.themoviedb.org/movie/140607
Nice Sister-In-Law 3,63.0,Romance,06/07/2018,1h 22m,Lee Ri-dan,https://www.themoviedb.org/movie/682908
Where the Crawdads Sing,76.0,"Drama, Mystery, Thriller",07/15/2022,2h 5m,Olivia Newman,https://www.themoviedb.org/movie/682507
Gladiator,82.0,"Action, Drama, Adventure",05/05/2000,2h 35m,Ridley Scott,https://www.themoviedb.org/movie/98
Klaus,83.0,"Animation, Family, Adventure, Comedy, Fantasy",11/15/2019,1h 36m,Sergio Pablos,https://www.themoviedb.org/movie/508965
Hidden Figures,81.0,"Drama, History",02/24/2017,2h 7m,Theodore Melfi,https://www.themoviedb.org/movie/381284
Adanis: Kutsal Kavga,52.0,"Drama, Action, Adventure",03/11/2022,2h 2m,Emir Khalilzadeh,https://www.themoviedb.org/movie/978436
Tarzan,74.0,"Family, Adventure, Animation, Drama",06/18/1999,1h 28m,Chris Buck,https://www.themoviedb.org/movie/37135
Rise of the Teenage Mutant Ninja Turtles: The Movie,75.0,"Animation, Action, Comedy, Family, Science Fiction",08/05/2022,1h 26m,Andy Suriano,https://www.themoviedb.org/movie/765172
Interceptor,62.0,"Action, Thriller, Adventure",05/26/2022,1h 38m,Matthew Reilly,https://www.themoviedb.org/movie/831946
Schindler's List,86.0,"Drama, History, War",12/15/1993,3h 15m,Steven Spielberg,https://www.themoviedb.org/movie/424
Female Doctor: Flesh Slave,38.0,Crime,03/08/1986,1h 8m,Katsuhiko Fujii,https://www.themoviedb.org/movie/405869
The Commando,58.0,"Action, Crime, Thriller",06/30/2022,1h 33m,Asif Akbar,https://www.themoviedb.org/movie/753232
Lucy,64.0,"Action, Science Fiction",07/25/2014,1h 29m,Luc Besson,https://www.themoviedb.org/movie/240832
Ice Age: The Meltdown,67.0,"Animation, Family, Comedy, Adventure",04/21/2006,1h 31m,Carlos Saldanha,https://www.themoviedb.org/movie/950
Beauty and the Beast,70.0,"Family, Fantasy, Romance",03/17/2017,2h 9m,Bill Condon,https://www.themoviedb.org/movie/321612
Army of the Dead,63.0,"Action, Crime, Horror, Thriller",05/14/2021,2h 28m,Zack Snyder,https://www.themoviedb.org/movie/503736
Fifty Shades Darker,65.0,"Drama, Romance",02/10/2017,1h 58m,James Foley,https://www.themoviedb.org/movie/341174
Holiday Harmony,64.0,"Romance, Comedy, Music",11/24/2022,1h 51m,Shaun Paul Piccinino,https://www.themoviedb.org/movie/1028935
Twelve Monkeys,76.0,"Science Fiction, Thriller, Mystery",01/05/1996,2h 9m,Terry Gilliam,https://www.themoviedb.org/movie/63
Young Sister-In-Law 2,44.0,Romance,02/08/2017,1h 34m,Kim Tae-Soo,https://www.themoviedb.org/movie/452073
The Emperor's New Groove,75.0,"Adventure, Animation, Comedy, Family, Fantasy",12/15/2000,1h 18m,Mark Dindal,https://www.themoviedb.org/movie/11688
R.I.P.D.,58.0,"Fantasy, Action, Comedy, Crime",07/19/2013,1h 36m,Robert Schwentke,https://www.themoviedb.org/movie/49524
Antlers,63.0,"Drama, Horror, Mystery",10/29/2021,1h 39m,Scott Cooper,https://www.themoviedb.org/movie/516329
Dragon Ball Z: Battle of Gods,68.0,"Animation, Action, Science Fiction",03/30/2013,1h 25m,Masahiro Hosoda,https://www.themoviedb.org/movie/126963
Taken,74.0,"Action, Thriller",02/27/2008,1h 34m,Pierre Morel,https://www.themoviedb.org/movie/8681
Crazy Fist,69.0,Action,05/06/2021,1h 37m,Qing Guo,https://www.themoviedb.org/movie/859041
Godzilla: King of the Monsters,67.0,"Science Fiction, Action",05/30/2019,2h 12m,Michael Dougherty,https://www.themoviedb.org/movie/373571
Chickenhare and the Hamster of Darkness,75.0,"Animation, Adventure, Comedy, Family, Fantasy",02/16/2022,1h 31m,Ben Stassen,https://www.themoviedb.org/movie/778855
Enchanted,68.0,"Comedy, Family, Fantasy, Romance",11/20/2007,1h 47m,Kevin Lima,https://www.themoviedb.org/movie/4523
Legion,58.0,"Horror, Action, Fantasy",01/22/2010,1h 40m,Scott Stewart,https://www.themoviedb.org/movie/22894
The Devil Wears Prada,74.0,"Comedy, Drama, Romance",03/14/2008,1h 49m,David Frankel,https://www.themoviedb.org/movie/350
Blended,69.0,Comedy,05/29/2014,1h 57m,Frank Coraci,https://www.themoviedb.org/movie/232672
The Hunger Games: Mockingjay - Part 2,69.0,"Action, Adventure, Science Fiction",11/20/2015,2h 17m,Francis Lawrence,https://www.themoviedb.org/movie/131634
The SpongeBob SquarePants Movie,70.0,"Family, Animation, Comedy, Fantasy, Adventure",11/19/2004,1h 27m,Stephen Hillenburg,https://www.themoviedb.org/movie/11836
The Expendables,62.0,"Thriller, Adventure, Action",08/13/2010,1h 43m,Sylvester Stallone,https://www.themoviedb.org/movie/27578
The Hangover Part III,62.0,Comedy,05/23/2013,1h 40m,Todd Phillips,https://www.themoviedb.org/movie/109439
Kung Fu Panda 3,69.0,"Action, Adventure, Animation, Comedy, Family",01/29/2016,1h 35m,Jennifer Yuh Nelson,https://www.themoviedb.org/movie/140300
Pirates of the Caribbean: Dead Men Tell No Tales,66.0,"Adventure, Action, Fantasy",05/26/2017,2h 9m,Joachim Rønning,https://www.themoviedb.org/movie/166426
Mean Girls,72.0,Comedy,04/30/2004,1h 37m,Mark Waters,https://www.themoviedb.org/movie/10625
The Godfather Part II,86.0,"Drama, Crime",12/20/1974,3h 22m,Francis Ford Coppola,https://www.themoviedb.org/movie/240
Ciao Alberto,75.0,"Animation, Comedy, Family, Fantasy",11/12/2021,7m,McKenna Jean Harris,https://www.themoviedb.org/movie/876716
Pil's Adventures,68.0,"Animation, Adventure, Fantasy, Comedy, Family",08/11/2021,1h 29m,Julien Fournet,https://www.themoviedb.org/movie/676705
Old People,58.0,Horror,10/07/2022,1h 41m,Andy Fetscher,https://www.themoviedb.org/movie/999722
Les chevaliers du fiel dynamitent 2019,53.0,NA,03/01/2020,NA,NA,https://www.themoviedb.org/movie/669444
Troy,71.0,"Adventure, History, War, Action",06/25/2004,2h 43m,Wolfgang Petersen,https://www.themoviedb.org/movie/652
Pamasahe,56.0,Drama,12/09/2022,1h 44m,Roman Perez Jr.,https://www.themoviedb.org/movie/1041898
Rambo,66.0,"Action, Thriller",01/25/2008,1h 32m,Sylvester Stallone,https://www.themoviedb.org/movie/7555
The Takedown,61.0,"Comedy, Action",05/06/2022,1h 59m,Louis Leterrier,https://www.themoviedb.org/movie/785985
Seobok: Project Clone,74.0,"Science Fiction, Action",04/15/2021,1h 54m,Lee Yong-ju,https://www.themoviedb.org/movie/586047
Restart The Earth,68.0,"Science Fiction, Horror, Action",09/03/2021,1h 29m,Lin Zhenzhao,https://www.themoviedb.org/movie/870096
Your Christmas Or Mine?,65.0,"Romance, Comedy",12/02/2022,1h 34m,Jim O'Hanlon,https://www.themoviedb.org/movie/865559
Saving Private Ryan,82.0,"Drama, History, War",07/24/1998,2h 49m,Steven Spielberg,https://www.themoviedb.org/movie/857
Pretty Guardian Sailor Moon Eternal The Movie Part 2,81.0,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",02/11/2021,1h 20m,Chiaki Kon,https://www.themoviedb.org/movie/784500
Life,64.0,"Horror, Science Fiction, Mystery, Thriller",03/24/2017,1h 44m,Daniel Espinosa,https://www.themoviedb.org/movie/395992
The Cat in the Hat,53.0,"Comedy, Adventure, Family, Fantasy",11/21/2003,1h 21m,Bo Welch,https://www.themoviedb.org/movie/10588
Scary Movie 2,58.0,Comedy,07/04/2001,1h 23m,Keenen Ivory Wayans,https://www.themoviedb.org/movie/4248
Last Weekend,20.0,NA,12/30/2022,1h 30m,Curtis Williams-Foshee,https://www.themoviedb.org/movie/954881
The Purge: Election Year,64.0,"Action, Horror, Thriller",07/01/2016,1h 45m,James DeMonaco,https://www.themoviedb.org/movie/316727
After Porn Ends 2,54.0,Documentary,03/28/2017,1h 30m,Bryce Wagoner,https://www.themoviedb.org/movie/440249
Making The Witcher,73.0,Documentary,08/26/2020,32m,Nathan Wiley,https://www.themoviedb.org/movie/736759
"One Piece ""3D2Y"": Overcome Ace's Death! Luffy's Vow to his Friends",74.0,"Action, Animation, Adventure, Comedy, Fantasy",11/24/2017,1h 45m,Naoyuki Itou,https://www.themoviedb.org/movie/290271
Abraham Lincoln: Vampire Hunter,57.0,"Action, Fantasy, Horror",06/22/2012,1h 45m,Timur Bekmambetov,https://www.themoviedb.org/movie/72331
Flipped,80.0,"Romance, Drama",09/10/2010,1h 29m,Rob Reiner,https://www.themoviedb.org/movie/43949
Alice in Wonderland,66.0,"Family, Fantasy, Adventure",03/12/2010,1h 48m,Tim Burton,https://www.themoviedb.org/movie/12155
The Terminator,76.0,"Action, Thriller, Science Fiction",10/26/1984,1h 48m,James Cameron,https://www.themoviedb.org/movie/218
Pokémon the Movie: Secrets of the Jungle,70.0,"Animation, Adventure, Family, Science Fiction, Action, Fantasy",12/25/2020,1h 38m,Tetsuo Yajima,https://www.themoviedb.org/movie/662708
The Deer King,63.0,"Animation, Drama, Adventure, Fantasy",02/04/2022,1h 53m,Masashi Ando,https://www.themoviedb.org/movie/633844
Finch,80.0,"Science Fiction, Drama, Adventure",11/04/2021,1h 55m,Miguel Sapochnik,https://www.themoviedb.org/movie/522402
The King's Avatar: For the Glory,70.0,"Animation, Action, Adventure, Fantasy",08/16/2019,1h 38m,Shi Juansheng,https://www.themoviedb.org/movie/613200
Pixels,57.0,"Action, Comedy, Science Fiction",08/07/2015,1h 45m,Chris Columbus,https://www.themoviedb.org/movie/257344
Happy Feet,62.0,"Animation, Comedy, Family",12/26/2006,1h 48m,George Miller,https://www.themoviedb.org/movie/9836
The Da Vinci Code,67.0,"Thriller, Mystery",05/26/2006,2h 29m,Ron Howard,https://www.themoviedb.org/movie/591
Dragon Ball Z: Fusion Reborn,74.0,"Animation, Action, Fantasy, Science Fiction",03/04/1995,55m,Shigeyasu Yamauchi,https://www.themoviedb.org/movie/39107
300: Rise of an Empire,61.0,"Action, Drama, War",03/07/2014,1h 42m,Noam Murro,https://www.themoviedb.org/movie/53182
Madagascar 3: Europe's Most Wanted,66.0,"Animation, Family, Comedy, Adventure",06/08/2012,1h 33m,Tom McGrath,https://www.themoviedb.org/movie/80321
Beneath the Surface,69.0,"Fantasy, Horror, Thriller, Mystery",04/01/2022,1h 33m,Rebecca Matthews,https://www.themoviedb.org/movie/896448
The Mummy Returns,63.0,"Adventure, Action, Fantasy",05/04/2001,2h 10m,Stephen Sommers,https://www.themoviedb.org/movie/1734
War of the Worlds,65.0,"Adventure, Thriller, Science Fiction",07/01/2005,1h 57m,Steven Spielberg,https://www.themoviedb.org/movie/74
Dragon Ball Z: Broly – Second Coming,67.0,"Animation, Action, Science Fiction",03/12/1994,48m,Shigeyasu Yamauchi,https://www.themoviedb.org/movie/44251
Annabelle Comes Home,64.0,"Horror, Mystery, Thriller",06/26/2019,1h 46m,Gary Dauberman,https://www.themoviedb.org/movie/521029
Alien: Covenant,61.0,"Science Fiction, Horror, Mystery",05/12/2017,2h 2m,Ridley Scott,https://www.themoviedb.org/movie/126889
The Redeem Team,75.0,Documentary,10/07/2022,1h 38m,Jon Weinbach,https://www.themoviedb.org/movie/1018648
Legend,70.0,"Crime, Thriller",11/20/2015,2h 12m,Brian Helgeland,https://www.themoviedb.org/movie/276907
How the Grinch Stole Christmas!,75.0,"Animation, Family, Comedy",12/18/1966,26m,Chuck Jones,https://www.themoviedb.org/movie/13377
Peninsula,68.0,"Action, Horror, Thriller",07/15/2020,1h 56m,Yeon Sang-ho,https://www.themoviedb.org/movie/581392
Wrong Turn 5: Bloodlines,54.0,"Horror, Thriller",10/23/2012,1h 31m,Declan O'Brien,https://www.themoviedb.org/movie/125509
Unforgiven,79.0,Western,08/07/1992,2h 10m,Clint Eastwood,https://www.themoviedb.org/movie/33
Jeepers Creepers 2,61.0,Horror,08/29/2003,1h 44m,Victor Salva,https://www.themoviedb.org/movie/11351
Yaksha: Ruthless Operations,64.0,"Action, Adventure, Crime, Thriller",04/08/2022,2h 5m,Na Hyun,https://www.themoviedb.org/movie/606402
Ice Age: Continental Drift,63.0,"Animation, Comedy, Adventure, Family",07/27/2012,1h 28m,Mike Thurmeier,https://www.themoviedb.org/movie/57800
Alien,81.0,"Horror, Science Fiction",12/06/1979,1h 57m,Ridley Scott,https://www.themoviedb.org/movie/348
Kung Fu Panda 2,69.0,"Animation, Family",05/25/2011,1h 31m,Jennifer Yuh Nelson,https://www.themoviedb.org/movie/49444
Lilo & Stitch,75.0,"Animation, Family",06/21/2002,1h 25m,Chris Sanders,https://www.themoviedb.org/movie/11544
Nightmare Alley,70.0,"Crime, Drama, Thriller",12/03/2021,2h 30m,Guillermo del Toro,https://www.themoviedb.org/movie/597208
Tenet,72.0,"Action, Thriller, Science Fiction",12/04/2020,2h 30m,Christopher Nolan,https://www.themoviedb.org/movie/577922
Hereditary,73.0,"Horror, Mystery, Thriller",06/21/2018,2h 8m,Ari Aster,https://www.themoviedb.org/movie/493922
The Last Duel,75.0,"Action, Drama, History",10/22/2021,2h 33m,Ridley Scott,https://www.themoviedb.org/movie/617653
Back to the Outback,78.0,"Animation, Family, Adventure, Comedy",12/03/2021,1h 32m,Harry Cripps,https://www.themoviedb.org/movie/770254
Perfume: The Story of a Murderer,73.0,"Crime, Fantasy, Drama",01/05/2007,2h 27m,Tom Tykwer,https://www.themoviedb.org/movie/1427
Taxi Driver,82.0,"Crime, Drama",02/09/1976,1h 54m,Martin Scorsese,https://www.themoviedb.org/movie/103
Split,73.0,"Horror, Thriller",02/24/2017,1h 57m,M. Night Shyamalan,https://www.themoviedb.org/movie/381288
Southpaw,74.0,"Action, Drama",07/24/2015,2h 3m,Antoine Fuqua,https://www.themoviedb.org/movie/307081
Star Wars: The Rise of Skywalker,64.0,"Adventure, Action, Science Fiction",12/20/2019,2h 22m,J.J. Abrams,https://www.themoviedb.org/movie/181812
"The Good, the Bad and the Ugly",85.0,Western,04/15/1969,2h 41m,Sergio Leone,https://www.themoviedb.org/movie/429
Nausicaä of the Valley of the Wind,79.0,"Adventure, Animation, Fantasy",03/11/1984,1h 57m,Hayao Miyazaki,https://www.themoviedb.org/movie/81
Spiral: From the Book of Saw,61.0,"Horror, Crime, Mystery",05/14/2021,1h 33m,Darren Lynn Bousman,https://www.themoviedb.org/movie/602734
The First Purge,60.0,"Horror, Action, Thriller",07/04/2018,1h 37m,Gerard McMurray,https://www.themoviedb.org/movie/442249
Christmas in Paradise,58.0,"Comedy, Drama",11/11/2022,1h 28m,Philippe Martinez,https://www.themoviedb.org/movie/1037391
Offseason,58.0,"Horror, Mystery",03/11/2022,1h 23m,Mickey Keating,https://www.themoviedb.org/movie/796256
Megan,60.0,"Action, Science Fiction",07/31/2018,8m,Greg Strasz,https://www.themoviedb.org/movie/536628
Five Feet Apart,83.0,"Romance, Drama",03/29/2019,1h 56m,Justin Baldoni,https://www.themoviedb.org/movie/527641
Carriers,61.0,"Action, Drama, Horror, Science Fiction, Thriller",09/04/2009,1h 24m,David Pastor,https://www.themoviedb.org/movie/25769
Clash of the Titans,59.0,"Adventure, Fantasy, Action",04/02/2010,1h 46m,Louis Leterrier,https://www.themoviedb.org/movie/18823
The Boy in the Striped Pyjamas,78.0,"War, Drama, History",11/07/2008,1h 34m,Mark Herman,https://www.themoviedb.org/movie/14574
X-Men: Days of Future Past,75.0,"Action, Adventure, Science Fiction",05/23/2014,2h 12m,Bryan Singer,https://www.themoviedb.org/movie/127585
Naruto Shippuden the Movie: Bonds,72.0,"Fantasy, Animation, Action",08/02/2008,1h 30m,Hajime Kamegaki,https://www.themoviedb.org/movie/17581
Bambi,70.0,"Animation, Drama, Family",08/21/1942,1h 10m,David Hand,https://www.themoviedb.org/movie/3170
Mission: Impossible - Ghost Protocol,70.0,"Action, Thriller, Adventure",12/16/2011,2h 13m,Brad Bird,https://www.themoviedb.org/movie/56292
Red Shoes and the Seven Dwarfs,78.0,"Animation, Romance, Family",07/25/2019,1h 32m,Hong Sung-ho,https://www.themoviedb.org/movie/486589
Dragon Ball Z: Cooler's Revenge,69.0,"Action, Animation, Science Fiction",07/20/1991,48m,Mitsuo Hashimoto,https://www.themoviedb.org/movie/24752
12 Angry Men,85.0,Drama,04/10/1957,1h 37m,Sidney Lumet,https://www.themoviedb.org/movie/389
Do Revenge,64.0,Comedy,09/16/2022,1h 58m,Jennifer Kaytin Robinson,https://www.themoviedb.org/movie/762968
Monster Pets: A Hotel Transylvania Short,74.0,"Animation, Comedy, Fantasy",04/09/2021,6m,Derek Drymon,https://www.themoviedb.org/movie/813258
The No Man Zone. The Movie,60.0,"Comedy, Science Fiction",06/09/2022,48m,Dmitry Gribanov,https://www.themoviedb.org/movie/981588
A Boy Called Christmas,74.0,"Family, Adventure, Fantasy",11/24/2021,1h 44m,Gil Kenan,https://www.themoviedb.org/movie/615666
Aftersun,79.0,Drama,10/21/2022,1h 42m,Charlotte Wells,https://www.themoviedb.org/movie/965150
Wrong Turn,60.0,"Horror, Thriller",01/26/2021,1h 50m,Mike P. Nelson,https://www.themoviedb.org/movie/630586
Father Stu,74.0,Drama,04/13/2022,2h 4m,Rosalind Ross,https://www.themoviedb.org/movie/809140
